id,user_id,repo_id,first_pr,first_commit,last_commit,active,length,frequency,diff,avg_commit_size,last_pr,first_pr_status,last_pr_status,commits_at_first_pr,more_than_a_year,total_commits,total_prs,total_adds,total_dels,first_issue_opened
12,12,1,2013-06-10 08:26:48 UTC,2013-06-10 08:24:52 UTC,2015-11-27 22:16:20 UTC,false,77809888.0,0.00000125948002906777,0.0,45.5204081632653,2015-11-27 22:24:01 UTC,0,0,3730,true,98,34,3493,968,2013-08-30 00:54:45 UTC
9,9,1,"",2008-05-07 02:21:22 UTC,2012-05-21 07:25:12 UTC,"",127458230.0,0.000000863027832726062,"","","","","","","","","","","",2010-04-03 03:12:33 UTC
17,17,1,2016-05-27 22:44:36 UTC,2016-05-27 22:46:20 UTC,2017-01-13 21:18:20 UTC,false,19953120.0,0.00000245575629275021,104.0,63.8163265306122,2017-01-31 22:52:31 UTC,0,0,6967,false,49,18,2314,813,2016-04-29 04:54:46 UTC
20,20,1,2013-07-15 18:57:19 UTC,2013-07-12 08:33:08 UTC,2014-04-03 02:35:26 UTC,false,22874538.0,0.00000144265208766184,-296651.0,25.2727272727273,2014-04-03 02:36:54 UTC,0,0,3792,false,33,14,566,268,2013-07-21 13:03:23 UTC
15,15,1,"",2010-03-25 16:01:16 UTC,2012-09-21 01:06:48 UTC,"",78656732.0,0.000000673813908261533,"","","","","","","","","","","",""
21,21,1,2013-04-11 20:07:49 UTC,2013-04-11 20:05:04 UTC,2016-01-14 05:36:23 UTC,false,87039079.0,0.000000367650949063926,0.0,28.0625,2016-05-12 09:31:12 UTC,0,0,3683,true,32,31,738,160,2013-04-11 18:16:57 UTC
24,24,1,2011-11-30 22:56:59 UTC,2010-02-04 01:16:39 UTC,2010-02-25 18:39:58 UTC,false,1876999.0,0.0000154501946990915,-57447620.0,91.3793103448276,2011-11-30 22:56:59 UTC,0,"",2658,false,29,1,669,1981,2010-05-12 23:35:19 UTC
26,26,1,"",2010-06-06 07:19:15 UTC,2013-08-12 01:22:12 UTC,"",100461777.0,0.000000268758933061676,"","","","","","","","","","","",2010-04-05 01:03:47 UTC
29,29,1,2015-12-25 23:46:47 UTC,2015-12-02 22:38:17 UTC,2015-12-28 08:53:27 UTC,false,2196910.0,0.0000109244347742966,-1991310.0,59.9166666666667,2015-12-25 23:46:47 UTC,0,"",6337,false,24,1,1039,399,2015-11-27 22:51:19 UTC
32,32,1,2012-03-08 12:08:21 UTC,2012-03-11 06:43:57 UTC,2014-12-31 09:47:41 UTC,false,88571024.0,0.000000259678605499695,239736.0,9.39130434782609,2014-12-31 09:58:12 UTC,0,0,2796,true,23,14,143,73,2010-06-09 07:05:08 UTC
33,33,1,2015-07-11 12:05:35 UTC,2011-08-25 17:55:34 UTC,2013-08-20 21:58:29 UTC,false,62740975.0,0.00000030283239940087,-122321401.0,9.57894736842105,2015-07-11 12:05:35 UTC,0,"",5790,true,19,1,139,43,2010-07-10 10:00:38 UTC
